"STATISTIC Label","Month","Consumer Item","UNIT","VALUE"
"National Average Price","2012 January","Diesel per litre","Euro","1.529"
"National Average Price","2012 January","Petrol - unleaded per litre","Euro","1.542"
"National Average Price","2012 February","Diesel per litre","Euro","1.554"
"National Average Price","2012 February","Petrol - unleaded per litre","Euro","1.578"
"National Average Price","2012 March","Diesel per litre","Euro","1.582"
"National Average Price","2012 March","Petrol - unleaded per litre","Euro","1.629"
"National Average Price","2012 April","Diesel per litre","Euro","1.6"
"National Average Price","2012 April","Petrol - unleaded per litre","Euro","1.686"
"National Average Price","2012 May","Diesel per litre","Euro","1.579"
"National Average Price","2012 May","Petrol - unleaded per litre","Euro","1.665"
"National Average Price","2012 June","Diesel per litre","Euro","1.534"
"National Average Price","2012 June","Petrol - unleaded per litre","Euro","1.621"
"National Average Price","2012 July","Diesel per litre","Euro","1.504"
"National Average Price","2012 July","Petrol - unleaded per litre","Euro","1.599"
"National Average Price","2012 August","Diesel per litre","Euro","1.565"
"National Average Price","2012 August","Petrol - unleaded per litre","Euro","1.653"
"National Average Price","2012 September","Diesel per litre","Euro","1.612"
"National Average Price","2012 September","Petrol - unleaded per litre","Euro","1.704"
"National Average Price","2012 October","Diesel per litre","Euro","1.587"
"National Average Price","2012 October","Petrol - unleaded per litre","Euro","1.682"
"National Average Price","2012 November","Diesel per litre","Euro","1.558"
"National Average Price","2012 November","Petrol - unleaded per litre","Euro","1.619"
"National Average Price","2012 December","Diesel per litre","Euro","1.544"
"National Average Price","2012 December","Petrol - unleaded per litre","Euro","1.599"
"National Average Price","2013 January","Diesel per litre","Euro","1.525"
"National Average Price","2013 January","Petrol - unleaded per litre","Euro","1.581"
"National Average Price","2013 February","Diesel per litre","Euro","1.541"
"National Average Price","2013 February","Petrol - unleaded per litre","Euro","1.603"
"National Average Price","2013 March","Diesel per litre","Euro","1.548"
"National Average Price","2013 March","Petrol - unleaded per litre","Euro","1.616"
"National Average Price","2013 April","Diesel per litre","Euro","1.541"
"National Average Price","2013 April","Petrol - unleaded per litre","Euro","1.618"
"National Average Price","2013 May","Diesel per litre","Euro","1.489"
"National Average Price","2013 May","Petrol - unleaded per litre","Euro","1.575"
"National Average Price","2013 June","Diesel per litre","Euro","1.477"
"National Average Price","2013 June","Petrol - unleaded per litre","Euro","1.57"
"National Average Price","2013 July","Diesel per litre","Euro","1.483"
"National Average Price","2013 July","Petrol - unleaded per litre","Euro","1.577"
"National Average Price","2013 August","Diesel per litre","Euro","1.496"
"National Average Price","2013 August","Petrol - unleaded per litre","Euro","1.595"
"National Average Price","2013 September","Diesel per litre","Euro","1.522"
"National Average Price","2013 September","Petrol - unleaded per litre","Euro","1.609"
"National Average Price","2013 October","Diesel per litre","Euro","1.492"
"National Average Price","2013 October","Petrol - unleaded per litre","Euro","1.566"
"National Average Price","2013 November","Diesel per litre","Euro","1.473"
"National Average Price","2013 November","Petrol - unleaded per litre","Euro","1.53"
"National Average Price","2013 December","Diesel per litre","Euro","1.482"
"National Average Price","2013 December","Petrol - unleaded per litre","Euro","1.535"
"National Average Price","2014 January","Diesel per litre","Euro","1.474"
